learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
17200.0,0.090919,2.301977057423857E-10,17200.0,69.5,34.5015676673968,36.983471074380155,23.55889724310776,17200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
17400.0,0.092167,2.375227192209827E-10,17400.0,71.1,37.19848754835064,39.157894736842096,25.897435897435887,17400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
17600.0,0.093399,2.4475382227036693E-10,17600.0,72.8,41.17774269587595,42.61603375527426,31.139240506329113,17600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
17800.0,0.094634,2.5200253352522856E-10,17800.0,73.3,42.2327996538295,45.17453798767967,32.40506329113924,17800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
18000.0,0.095892,2.5938624102208357E-10,18000.0,73.8,42.81972937581842,45.302713987473894,32.82051282051282,18000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
18200.0,0.097134,2.666760380897258E-10,18200.0,75.1,45.379404745191636,46.680942184154176,35.824742268041234,18200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
18400.0,0.098463,2.744764731162125E-10,18400.0,74.9,45.411048281861675,47.817047817047815,37.25000000000001,18400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
18600.0,0.099684,2.8164301274551294E-10,18600.0,74.5,44.50344731527265,46.985446985446984,36.881188118811885,18600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
18800.0,0.100912,2.8885063818759397E-10,18800.0,74.8,45.68754822385351,47.5,38.98305084745763,18800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
19000.0,0.102157,2.9615804346071357E-10,19000.0,75.4,47.234758137858854,49.59016393442623,41.14832535885168,19000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
19200.0,0.103328,3.030311129987241E-10,19200.0,74.6,45.403583588403215,47.52066115702479,39.23444976076556,19200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
19400.0,0.104613,3.1057329434487563E-10,19400.0,73.2,42.87078565459847,44.16666666666666,36.492890995260666,19400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
19600.0,0.105802,3.175520131157505E-10,19600.0,73.0,42.04217612309383,46.0,34.46601941747573,19600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
19800.0,0.106976,3.2444269085923837E-10,19800.0,72.6,41.31254283755996,45.52683896620278,33.170731707317074,19800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
20000.0,0.108201,3.31632708095842E-10,20000.0,72.0,40.31988541417999,45.09803921568627,33.014354066985646,20000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
20200.0,0.109364,3.384588224192461E-10,20200.0,72.1,40.977364078696844,46.653919694072655,33.88625592417062,20200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
20400.0,0.110532,3.4531428375177916E-10,20400.0,72.89999999999999,42.15877948621629,47.68339768339768,34.54106280193237,20400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
20600.0,0.111716,3.52263655513525E-10,20600.0,73.1,41.941777747081986,46.09218436873747,33.415841584158414,20600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
20800.0,0.112887,3.5913672505153553E-10,20800.0,74.5,44.56569942870062,48.170731707317074,36.408977556109726,20800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
21000.0,0.114066,3.660567498041524E-10,21000.0,76.0,47.07127734650671,50.0,36.8421052631579,21000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
21200.0,0.115322,3.734287184973558E-10,21200.0,75.5,46.886002185261624,48.529411764705884,38.28715365239295,21200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
21400.0,0.1165,3.803428738481469E-10,21400.0,76.1,48.73224934574629,50.82304526748971,40.98765432098766,21400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
21600.0,0.117683,3.87286376208067E-10,21600.0,75.8,48.46348787188279,51.012145748987855,41.686746987951814,21600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
21800.0,0.11884,3.940772741205163E-10,21800.0,75.1,46.85120043714354,50.693069306930695,39.56310679611651,21800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
22000.0,0.120012,4.009562130603526E-10,22000.0,73.8,44.45951904487332,49.90439770554494,38.20754716981132,22000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
22200.0,0.12127,4.083399205572076E-10,22200.0,74.2,44.87273721816721,51.594746716697934,37.68115942028986,22200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
22400.0,0.122445,4.1523646770252125E-10,22400.0,73.8,43.827210785175524,49.808429118773944,36.561743341404366,22400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
22600.0,0.123621,4.2213888424966074E-10,22600.0,73.4,43.394620360912505,48.747591522158,36.66666666666667,22600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
22800.0,0.124804,4.2908238660958083E-10,22800.0,72.7,42.128157513164254,45.83333333333333,35.91549295774648,22800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
23000.0,0.125982,4.359965419603719E-10,23000.0,73.6,44.33879122408275,47.30538922155688,38.46153846153847,23000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
23200.0,0.127232,4.433332942426205E-10,23200.0,73.4,43.65767590031221,45.60327198364008,37.704918032786885,23200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
23400.0,0.12842,4.503061436116696E-10,23400.0,72.1,40.56242011077972,43.636363636363626,32.7710843373494,23400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
23600.0,0.129593,4.571909519533317E-10,23600.0,73.3,43.345300842818226,46.3855421686747,35.507246376811594,23600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
23800.0,0.130769,4.640933685004712E-10,23800.0,74.7,46.4164689935615,50.09861932938856,38.74092009685231,23800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
24000.0,0.132103,4.719231505360869E-10,24000.0,74.1,44.413920986212936,46.2655601659751,35.411471321695764,24000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
24200.0,0.133357,4.792833804256387E-10,24200.0,74.1,43.62898732413984,46.15384615384615,33.24742268041237,24200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
24400.0,0.134537,4.862092745800813E-10,24400.0,75.8,47.378720998499645,48.40085287846482,38.73417721518988,24400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
24600.0,0.135717,4.93135168734524E-10,24600.0,76.3,47.831369855776856,47.45011086474501,38.28125000000001,24600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
24800.0,0.136934,5.002782307565212E-10,24800.0,74.7,44.115568121576246,43.652561247216035,33.421052631578945,24800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
25000.0,0.138249,5.079964941574468E-10,25000.0,75.6,46.09378797184505,46.724890829694324,35.958005249343834,25000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
25200.0,0.139416,5.148460860881541E-10,25200.0,75.0,44.4720850065745,44.690265486725664,33.86243386243386,25200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
25400.0,0.140597,5.217778496444226E-10,25400.0,74.0,42.8759749533121,44.08602150537634,32.467532467532465,25400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
25600.0,0.141774,5.28686135593388E-10,25600.0,73.0,40.88695834938873,42.796610169491515,31.472081218274113,25600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
25800.0,0.143052,5.361872311267589E-10,25800.0,73.8,42.61056228506341,45.86776859504132,33.67088607594937,25800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
26000.0,0.144238,5.431483416921564E-10,26000.0,72.5,41.00991033506371,45.43650793650793,33.09002433090024,26000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
26200.0,0.14542,5.500859746502507E-10,26200.0,74.3,45.572987259419904,50.0,38.95486935866984,26200.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
26400.0,0.146602,5.57023607608345E-10,26400.0,75.7,47.982224048909565,52.5390625,41.30434782608696,26400.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
26600.0,0.147826,5.642077554431229E-10,26600.0,76.2,49.748107108320276,53.24165029469549,43.467933491686466,26600.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
26800.0,0.149025,5.712451682322557E-10,26800.0,76.8,51.17906760436527,52.459016393442624,45.15366430260048,26800.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
27000.0,0.150209,5.781945399940016E-10,27000.0,76.6,50.275609123788236,50.63291139240506,43.34140435835352,27000.0,22688.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
